Region,Matchup,HighSeed,LowSeed,HighSeedPts,LowSeedPts,Total,Spread,HighSeedWin%
East,1 vs 16,Duke,Siena,79.6,60.5,140.1,+19.1,100.0%
East,8 vs 9,Ohio State,TCU,72.5,67.7,140.2,+4.8,82.1%
East,5 vs 12,St. John's,Northern Iowa,76.9,63.2,140.1,+13.7,99.4%
East,4 vs 13,Kansas,California Baptist,79.1,61.0,140.1,+18.0,100.0%
East,6 vs 11,Louisville,South Florida,74.5,65.3,139.8,+9.2,97.2%
East,3 vs 14,Michigan State,North Dakota State,81.2,58.7,139.9,+22.4,100.0%
East,7 vs 10,UCLA,UCF,73.3,66.9,140.2,+6.4,90.3%
East,2 vs 15,UConn,Furman,84.1,55.6,139.7,+28.5,100.0%
West,1 vs 16,Arizona,LIU,80.2,59.9,140.1,+20.3,100.0%
West,8 vs 9,Villanova,Utah State,69.7,70.3,140.0,-0.6,45.0%
West,5 vs 12,Wisconsin,High Point,77.6,62.3,139.9,+15.4,100.0%
West,4 vs 13,Arkansas,Hawaii,80.3,59.7,140.0,+20.6,100.0%
West,6 vs 11,BYU,Texas,72.2,67.9,140.1,+4.3,80.4%
West,3 vs 14,Gonzaga,Kennesaw State,84.2,55.8,139.9,+28.4,100.0%
West,7 vs 10,Miami (FL),Missouri,72.5,67.4,139.9,+5.1,85.3%
West,2 vs 15,Purdue,Queens,80.0,60.3,140.3,+19.7,100.0%
South,1 vs 16,Florida,Prairie View A&M,80.5,59.6,140.1,+20.9,100.0%
South,8 vs 9,Clemson,Iowa,68.3,71.4,139.6,-3.1,27.4%
South,5 vs 12,Vanderbilt,McNeese,77.8,62.4,140.2,+15.4,99.7%
South,4 vs 13,Nebraska,Troy,81.8,58.1,139.8,+23.7,100.0%
South,6 vs 11,North Carolina,VCU,71.9,68.2,140.1,+3.6,74.9%
South,3 vs 14,Illinois,Penn,79.8,60.0,139.8,+19.8,100.0%
South,7 vs 10,Saint Mary's,Texas A&M,72.2,67.8,140.0,+4.4,80.8%
South,2 vs 15,Houston,Idaho,79.7,60.3,140.0,+19.4,100.0%
Midwest,1 vs 16,Michigan,UMBC,80.2,59.9,140.2,+20.3,100.0%
Midwest,8 vs 9,Georgia,Saint Louis,71.4,68.9,140.3,+2.5,70.3%
Midwest,5 vs 12,Texas Tech,Akron,76.3,63.7,140.1,+12.6,99.5%
Midwest,4 vs 13,Alabama,Hofstra,78.1,61.8,140.0,+16.3,99.9%
Midwest,6 vs 11,Tennessee,Miami (OH),78.8,61.3,140.1,+17.5,100.0%
Midwest,3 vs 14,Virginia,Wright State,82.4,58.1,140.5,+24.3,100.0%
Midwest,7 vs 10,Kentucky,Santa Clara,71.0,68.8,139.8,+2.2,66.2%
Midwest,2 vs 15,Iowa State,Tennessee State,80.0,60.0,139.9,+20.0,100.0%
